url,filename,points,Abstraction,Parallelism,Logic,Synchronization,Flow control,User interactivity,Data representation,Math operators,Motion operators,DuplicateScripts,DeadCode,SpriteNaming,BackdropNaming,Error,dashboard_mode,Van points,Van Abstraction,Van Parallelism,Van Logic,Van Synchronization,Van Flow control,Van User interactivity,Van Data representation,tot_blocks
,883268233_2024_06_30_19_30_44_537517.sb3,21,2,3,1,3,4,1,4,2,1,0,2,4,1,None,Default,16,2,3,1,3,3,1,3,52
,1026161964_2024_06_19_12_30_49_163057.sb3,9,1,0,0,1,2,4,1,0,0,4,0,0,1,None,Default,8,1,0,0,1,2,3,1,58
,fa43226b-9f3b-4294-962e-09624f0017ed_2024_05_27_10_48_54_352708.sb3,15,1,0,1,0,4,2,4,2,1,0,0,0,0,None,Default,10,1,0,1,0,3,2,3,45
,a8dc3ba4-a87b-409d-bd78-af03ce66fb51_2024_06_07_07_31_57_774152.sb3,19,1,2,1,3,3,2,4,3,0,0,1,0,1,None,Default,15,1,2,1,3,3,2,3,26
,1040735124_2024_06_28_12_13_21_943520.sb3,8,1,1,0,1,2,2,1,0,0,0,0,0,1,None,Default,8,1,1,0,1,2,2,1,40
,e415ba50-8627-4b3a-a11b-bf724cf77b39_2024_06_18_02_24_23_418203.sb3,16,1,4,0,3,2,1,1,0,4,0,1,2,2,None,Default,11,1,3,0,3,2,1,1,173
,ef05964d-c5a7-478f-83cb-1733cd9f4b68_2024_05_14_19_38_07_568799.sb3,24,1,1,4,2,4,2,4,2,4,10,0,0,1,None,Default,15,1,1,3,2,3,2,3,151
,138431f0-e6fd-4aaa-b528-eae9a0b4a605_2024_05_14_06_30_29_326798.sb3,18,1,4,1,3,2,2,1,0,4,0,2,0,1,None,Default,13,1,3,1,3,2,2,1,36
,1027307978_2024_06_18_00_28_54_596448.sb3,7,1,1,0,1,2,1,1,0,0,0,1,0,0,None,Default,7,1,1,0,1,2,1,1,11
,1040699268_2024_06_22_15_23_48_223985.sb3,8,1,1,0,1,2,2,1,0,0,0,0,0,0,None,Default,8,1,1,0,1,2,2,1,40
,06d0d60d-1024-495d-8aa9-d02581505b8c_2024_06_25_07_57_10_869928.sb3,17,1,4,0,3,2,2,1,0,4,0,0,0,0,None,Default,12,1,3,0,3,2,2,1,290
,1036821120_2024_06_21_06_28_30_536688.sb3,7,1,1,0,1,2,1,1,0,0,0,0,0,1,None,Default,7,1,1,0,1,2,1,1,12
,1025395068_2024_05_30_00_40_15_012071.sb3,8,1,2,0,0,1,2,1,0,1,0,0,1,1,None,Default,7,1,2,0,0,1,2,1,19
,6ba58d53-26c3-402d-914b-0eccb6bf1a75_2024_05_27_23_38_04_51895.sb3,14,1,1,2,0,1,2,4,3,0,0,2,0,1,None,Default,10,1,1,2,0,1,2,3,28
,bf6951f0-17bc-4c08-a305-c3b9dd2b6cb8_2024_05_23_09_02_20_735562.sb3,34,4,4,4,4,3,4,4,3,4,15,7,3,0,None,Default,21,3,3,3,3,3,3,3,1204
,949054255_2024_06_13_18_00_35_225404.sb3,6,0,0,0,0,2,1,0,0,3,0,1,1,1,None,Default,3,0,0,0,0,2,1,0,9
,916f8fc4-c498-4656-9783-82221a42d1b3_2024_06_14_12_42_33_866239.sb3,11,0,0,2,0,1,1,4,2,1,0,0,1,1,None,Default,7,0,0,2,0,1,1,3,9
,c39f64ab-3d45-4d3c-8189-9b1a98f5e44a_2024_06_24_17_28_30_889861.sb3,23,1,4,1,2,3,2,4,2,4,0,2,0,1,None,Default,15,1,3,1,2,3,2,3,298
,1016126389_2024_06_05_15_50_12_570308.sb3,33,4,4,4,3,4,2,4,4,4,0,0,8,0,None,Default,20,3,3,3,3,3,2,3,620
,82ec2dd1-c439-4638-9525-542d60977e3d_2024_05_24_09_31_05_93124.sb3,15,1,0,1,0,4,2,4,2,1,0,0,0,0,None,Default,10,1,0,1,0,3,2,3,43
,1026488596_2024_05_29_12_04_29_763918.sb3,5,1,0,0,0,0,0,1,0,3,0,2,1,1,None,Default,2,1,0,0,0,0,0,1,2
,830387242_2024_06_13_19_34_47_637138.sb3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,None,Default,0,0,0,0,0,0,0,0,0
,936266940_2024_06_13_15_04_04_455430.sb3,20,1,1,1,4,2,1,4,2,4,0,0,0,1,None,Default,12,1,1,1,3,2,1,3,68
,747653991_2024_06_13_08_26_35_881822.sb3,24,4,3,2,2,3,2,4,2,2,0,2,1,1,None,Default,18,3,3,2,2,3,2,3,73
,34557db6-d60a-4354-b6f6-16bc27450402_2024_05_08_14_53_47_497206.sb3,10,1,1,0,1,1,1,1,0,4,0,0,0,0,None,Default,6,1,1,0,1,1,1,1,207
,066e80ce-d7b0-4bb4-a0ae-29caf3fa6e06_2024_05_09_06_10_23_768563.sb3,9,1,0,0,1,2,1,1,1,2,0,1,2,0,None,Default,6,1,0,0,1,2,1,1,14
,6d65b74d-3a6f-4f47-8df3-e6b1e8545a8b_2024_06_01_02_39_19_86295.sb3,20,3,3,2,2,2,2,4,2,0,2,0,0,0,None,Default,17,3,3,2,2,2,2,3,57
,6f25ed0b-2857-4f9e-97c8-723c003aec1d_2024_05_23_22_26_11_5871.sb3,17,1,4,1,3,2,2,1,0,3,2,0,2,0,None,Default,13,1,3,1,3,2,2,1,136
,955774619_2024_06_13_17_54_43_174301.sb3,7,1,2,0,0,1,2,1,0,0,0,0,1,1,None,Default,7,1,2,0,0,1,2,1,26
,d18e9df6-6500-45e3-ab33-695c42ee2f6c_2024_06_05_06_03_17_564118.sb3,18,1,4,1,3,2,2,1,0,4,0,2,0,1,None,Default,13,1,3,1,3,2,2,1,36
,7ca0a3d8-58b4-4e09-a6e7-9a1309741e2b_2024_05_19_15_51_23_484159.sb3,17,1,0,1,3,3,2,4,3,0,0,1,0,0,None,Default,13,1,0,1,3,3,2,3,28
